,w53h6u4k,gux8ixql,rmfyq9p4,ekqjr6df,8r01d3y7,ixrz34rv
0,256,80,380,36.66666793823242,134,56.0
1,366,146,412,244.0,364,90.0
2,398,240,426,416.0,374,120.0
3,374,330,434,342.0,386,140.0
4,334,440,384,286.0,382,150.0
5,360,370,268,368.0,348,172.0
6,352,418,376,306.0,334,192.0
7,362,358,422,418.0,348,250.0
8,316,320,396,594.0,392,294.0
9,374,392,374,722.0,406,344.0
10,392,300,372,680.0,514,306.0
11,302,368,486,656.0,532,314.0
12,406,338,450,688.0,572,312.0
13,400,356,414,764.0,690,366.0
14,512,402,460,718.0,698,386.0
15,604,484,502,774.0,696,352.0
16,684,450,520,764.0,776,308.0
17,702,550,550,676.0,730,350.0
18,692,362,500,694.0,736,304.0
19,724,484,494,728.0,772,306.0
20,596,540,520,694.0,638,336.0
21,632,444,556,726.0,608,342.0
22,664,456,612,760.0,558,420.0
23,660,468,602,792.0,564,332.0
24,742,504,606,732.0,590,326.0
25,650,510,596,694.0,524,352.0
26,590,520,720,736.0,544,334.0
27,604,546,626,752.0,676,310.0
28,594,572,620,780.0,714,334.0
29,624,660,708,760.0,704,348.0
30,630,708,694,708.0,672,364.0
31,750,682,770,754.0,596,390.0
32,694,656,708,780.0,634,384.0
33,722,598,682,680.0,682,286.0
34,610,602,678,736.0,668,278.0
35,778,686,734,748.0,724,290.0
36,760,728,740,744.0,642,330.0
37,750,670,730,756.0,706,392.0
38,762,698,702,784.0,768,360.0
39,756,626,736,758.0,716,390.0
40,744,614,662,914.0,722,380.0
41,704,666,646,722.0,786,312.0
42,728,662,708,636.0,708,440.0
43,720,652,644,606.0,728,338.0
44,728,578,640,644.0,664,320.0
45,776,632,746,748.0,730,374.0
46,760,584,760,818.0,618,418.0
47,720,594,716,764.0,750,350.0
48,706,686,770,790.0,780,318.0
49,746,638,776,756.0,752,342.0
50,780,564,756,758.0,774,350.0
51,804,578,772,816.0,748,350.0
52,770,712,776,750.0,756,338.0
53,746,664,778,752.0,740,346.0
54,790,378,784,778.0,720,328.0
55,800,502,772,792.0,624,378.0
56,732,640,772,800.0,710,376.0
57,750,722,788,812.0,738,394.0
58,674,672,714,786.0,768,390.0
59,644,718,760,754.0,770,358.0
60,754,690,768,766.0,722,364.0
61,750,850,754,776.0,736,350.0
62,728,698,764,720.0,718,342.0
63,774,724,770,640.0,648,324.0
64,782,870,752,722.0,724,274.0
65,754,808,746,826.0,754,256.0
66,760,884,740,836.0,730,404.0
67,730,710,772,1010.0,788,356.0
68,744,910,752,922.0,732,346.0
69,766,790,756,862.0,758,220.0
70,762,860,800,934.0,780,236.0
71,922,856,804,898.0,704,308.0
72,820,830,782,836.0,650,312.0
73,780,906,790,974.0,570,304.0
74,748,836,780,838.0,712,342.0
75,558,824,728,920.0,734,412.0
76,552,986,772,728.0,790,364.0
77,601,886,748,618.0,690,350.0
78,576,908,790,838.0,768,314.0
79,660,918,794,846.0,794,362.0
80,538,1054,778,1010.0,774,354.0
81,624,982,744,938.0,682,390.0
82,454,828,752,808.0,878,362.0
83,462,1016,702,874.0,800,380.0
84,540,1120,738,868.0,710,338.0
85,592,1042,800,846.0,658,372.0
86,594,1008,752,966.0,782,354.0
87,652,914,714,1032.0,774,372.0
88,496,980,712,906.0,818,374.0
89,506,946,644,840.0,872,394.0
90,658,1064,688,1060.0,840,412.0
91,632,1014,678,1006.0,826,402.0
92,680,1000,778,1084.0,756,344.0
93,638,1064,584,1006.0,830,340.0
94,638,948,660,978.0,814,330.0
95,680,992,698,1090.0,812,330.0
96,588,962,722,1042.0,936,374.0
97,520,988,686,798.0,924,376.0
98,626,946,636,814.0,916,412.0
99,706,1016,714,778.0,888,412.0
100,638,1062,704,758.0,912,432.0
101,686,1116,422,788.0,918,420.0
102,616,1042,516,748.0,796,392.0
103,632,1000,894,890.0,846,392.0
104,764,976,814,770.0,800,410.0
105,684,990,790,874.0,758,472.0
106,616,1054,544,872.0,984,456.0
107,628,1050,730,794.0,842,402.0
108,660,986,748,910.0,944,444.0
109,748,1004,582,728.0,978,498.0
110,718,1028,476,930.0,1082,498.0
111,874,1028,498,578.0,938,554.0
112,684,1088,668,846.0,854,524.0
113,716,1026,614,932.0,752,512.0
114,726,1136,684,950.0,802,526.0
115,830,964,708,894.0,902,504.0
116,920,994,666,834.0,922,508.0
117,878,1036,764,944.0,888,546.0
118,966,858,726,782.0,926,572.0
119,828,948,810,894.0,858,542.0
120,824,946,616,938.0,844,556.0
121,838,920,684,1004.0,892,556.0
122,1024,1006,696,1076.0,998,588.0
123,1020,1074,560,1032.0,870,592.0
124,972,1142,620,1054.0,1002,576.0
125,878,1108,492,1040.0,1098,578.0
126,766,1080,600,950.0,946,568.0
127,642,1106,564,1116.0,982,614.0
128,958,1134,714,1066.0,962,590.0
129,902,1118,726,1078.0,1136,612.0
130,902,956,812,908.0,1152,618.0
131,826,1102,973,1106.0,1130,560.0
132,772,1152,766,1086.0,980,508.0
133,878,1124,774,1126.0,1156,524.0
134,922,1156,868,1054.0,1170,560.0
135,1042,1172,822,996.0,954,542.0
136,746,1190,728,996.0,1046,600.0
137,662,1110,864,1006.0,802,596.0
138,918,1208,858,1010.0,934,596.0
139,876,1278,914,980.0,948,604.0
140,962,1186,762,1024.0,948,606.0
141,966,1070,920,1014.0,946,638.0
142,1090,1228,798,1058.0,992,676.0
143,1002,1166,792,974.0,910,676.0
144,1018,1206,994,1064.0,798,680.0
145,1028,1158,1050,980.0,956,664.0
146,1108,1174,772,1116.0,950,664.0
147,1108,1084,960,982.0,1008,624.0
148,996,1178,888,966.0,912,602.0
149,996,1028,966,984.0,988,550.0
150,870,1122,928,1182.0,1092,534.0
151,904,1012,890,1280.0,1058,478.0
152,878,1242,1066,1206.0,992,506.0
153,902,1186,882,1208.0,958,548.0
154,898,1194,856,1204.0,914,658.0
155,842,1180,944,1310.0,892,642.0
156,766,1230,892,1200.0,906,646.0
157,948,1218,998,1272.0,918,640.0
158,978,1082,966,1144.0,906,668.0
159,940,1022,922,1222.0,852,668.0
160,766,1174,1002,1288.0,1082,676.0
161,818,1182,1026,1218.0,1128,612.0
162,854,1270,1176,1304.0,1058,562.0
163,904,1232,1048,1272.0,1136,584.0
164,778,1192,1032,1292.0,1052,612.0
165,722,1084,1122,1312.0,1062,634.0
166,728,1206,1110,1296.0,1076,658.0
167,740,1238,1040,1276.0,1066,668.0
168,792,1200,1000,1156.0,1014,656.0
169,720,1222,1156,1346.0,886,620.0
170,882,1262,912,1328.0,1072,590.0
171,916,1182,948,1526.0,1000,630.0
172,948,1296,918,1308.0,1116,630.0
173,980,1228,998,1182.0,1088,626.0
174,1062,1210,980,1216.0,1054,662.0
175,936,1190,864,1194.0,1144,696.0
176,840,1242,1118,1112.0,1104,710.0
177,922,1286,1016,884.0,1054,698.0
178,1058,1388,1102,1302.0,1170,724.0
179,1106,1346,858,1280.0,1084,696.0
180,1134,1372,842,1368.0,1026,662.0
181,1010,1276,1282,1008.0,1250,670.0
182,976,1296,976,1070.0,1134,698.0
183,1014,1236,928,1232.0,1188,706.0
184,888,1324,926,1126.0,1114,702.0
185,886,1332,1112,1030.0,1154,702.0
186,884,1374,1040,1248.0,1196,632.0
187,794,1362,874,1126.0,1222,650.0
188,1010,1416,1246,1304.0,1246,616.0
189,960,1236,1234,1374.0,1238,628.0
190,1036,1212,1076,1070.0,1268,598.0
191,1092,1396,1016,1250.0,1278,560.0
192,1038,1386,832,1236.0,1198,596.0
193,808,1312,952,1222.0,1152,582.0
194,970,1344,926,1346.0,1148,592.0
195,1096,1312,930,1372.0,1312,600.0
196,888,1418,1012,1332.0,1272,608.0
197,914,1288,1110,1636.0,1310,572.0
198,902,1386,1138,1218.0,1292,570.0
199,980,1256,860,1392.0,1226,556.0
200,978,1208,1080,1380.0,1300,528.0
201,1186,1216,1276,1168.0,1040,394.0
202,1092,1172,1100,1340.0,1136,488.0
203,1116,1284,1192,1322.0,1074,476.0
204,1080,1258,1102,1356.0,1126,482.0
205,958,1208,1064,1062.0,1040,474.0
206,1052,1324,566,1254.0,1186,496.0
207,1072,1440,1038,1188.0,1102,508.0
208,1138,1296,868,1102.0,1012,526.0
209,1268,1316,1066,1534.0,1110,598.0
210,1224,1288,960,1210.0,1132,598.0
211,1120,1314,1036,1406.0,1176,596.0
212,1176,1216,1044,1242.0,1228,562.0
213,970,1336,1134,1140.0,1276,530.0
214,832,1364,1204,1118.0,1258,546.0
215,1036,1390,1184,1290.0,1236,528.0
216,948,1306,1180,1432.0,1250,538.0
217,1242,1264,1162,1346.0,1280,552.0
218,1254,1324,952,1280.0,1248,492.0
219,830,1436,866,1310.0,1236,498.0
220,968,1438,1038,1304.0,1232,508.0
221,994,1330,1014,1490.0,1092,498.0
222,928,1292,982,1214.0,1300,490.0
223,1070,1234,1284,1344.0,1282,426.0
224,1321,1128,1130,1472.0,1194,428.0
225,1402,1190,972,1180.0,1248,506.0
226,1194,1256,1156,876.0,1186,486.0
227,1198,1294,1346,1292.0,1274,478.0
228,1184,1352,1122,1144.0,1252,460.0
229,1032,1272,1010,1102.0,1504,532.0
230,1112,1354,1034,1058.0,1336,536.0
231,1082,1332,1116,1222.0,1274,516.0
232,924,1326,1230,1260.0,1270,486.0
233,1078,1210,1200,1448.0,1268,474.0
234,986,1214,1198,1392.0,1294,508.0
235,996,1318,1244,1366.0,1280,462.0
236,1302,1462,1400,1208.0,1230,504.0
237,1126,1398,1310,1332.0,1256,492.0
238,1032,1228,1098,1488.0,1190,464.0
239,978,1292,1312,1432.0,1322,414.0
240,1184,1246,1260,1456.0,1278,426.0
241,1244,1316,1134,1336.0,1168,466.0
242,1070,1366,1170,1458.0,1090,506.0
243,1090,1296,1160,1250.0,998,432.0
244,1170,1358,1148,1314.0,1298,414.0
245,1302,1442,1128,1260.0,1224,402.0
246,1174,1320,1160,1182.0,1170,458.0
247,1174,1254,1036,1182.0,1326,458.0
248,1162,1286,1174,1366.0,1256,490.0
249,1004,1318,1166,1344.0,1158,514.0
250,1026,1206,1214,1148.0,1262,508.0
251,1038,1252,1068,1148.0,1132,522.0
252,1358,1370,1074,1374.0,1190,524.0
