,itafwycc,4oje7yx4,oqy9kqe9,gciysixg,o8ec1u1z,bssjwg68
0,276,436,298,90,316,78
1,240,362,366,332,290,124
2,310,402,380,376,304,190
3,304,416,412,392,344,162
4,358,438,282,380,482,254
5,346,238,358,376,570,278
6,358,224,336,260,474,242
7,392,276,292,410,436,268
8,444,512,472,410,394,302
9,480,542,490,456,350,322
10,476,538,620,542,510,314
11,492,544,620,504,418,254
12,502,532,630,438,368,326
13,430,614,518,568,388,238
14,436,560,520,602,456,258
15,408,562,670,530,378,278
16,394,560,696,602,400,288
17,486,498,720,678,430,310
18,438,596,630,656,322,250
19,344,584,740,658,430,312
20,444,612,782,684,490,348
21,426,724,814,664,528,328
22,378,688,696,678,424,380
23,374,682,760,610,420,350
24,470,726,814,702,552,346
25,312,732,842,652,574,336
26,498,730,786,698,610,348
27,514,552,920,780,626,386
28,458,594,892,838,558,310
29,482,608,864,854,506,300
30,510,602,932,810,616,428
31,534,578,888,800,598,434
32,536,476,918,878,738,402
33,460,636,818,874,674,384
34,630,642,918,962,796,418
35,610,608,780,828,688,432
36,682,674,860,704,692,372
37,594,608,904,982,694,394
38,632,630,956,890,746,344
39,620,634,912,1012,712,348
40,646,600,874,952,740,392
41,650,532,902,1050,718,372
42,694,568,846,1122,652,380
43,600,608,1048,1168,658,362
44,562,522,970,1170,670,324
45,628,576,1006,1128,668,330
46,692,578,916,1176,812,336
47,730,742,988,1210,750,348
48,678,794,1106,1088,836,364
49,702,754,676,1170,776,344
50,710,580,704,1070,770,334
51,684,688,816,1014,924,330
52,804,698,726,1018,936,360
53,736,770,936,866,956,282
54,702,724,864,1214,908,292
55,686,776,812,884,946,278
56,766,730,952,1172,962,328
57,712,748,880,1016,902,308
58,712,746,760,1086,848,246
59,772,694,704,1104,856,286
60,782,726,1032,1160,878,270
61,730,666,1038,1016,818,258
62,752,792,954,1214,970,326
63,772,784,936,1080,868,382
64,792,784,1094,1194,824,364
65,734,782,1086,1016,948,248
66,774,756,1106,1082,1008,206
67,768,690,934,1116,1014,200
68,736,714,1022,1174,1072,220
69,774,694,1054,1170,1060,242
70,792,720,912,1116,1030,204
71,790,728,1022,1104,1012,190
72,784,750,1196,1242,1052,174
73,786,612,1106,1248,1092,216
74,752,766,1238,1214,1110,244
75,792,790,1202,1336,1186,308
76,768,738,1156,1228,1208,338
77,778,782,1134,1270,1102,248
78,780,760,1094,1094,1078,180
